tender_id,description,due_date,url
2026_MES_750679_1,REPAIR  REPLACEMENT OF UNSERVICEABLE EXTERNAL WATER SUPPLY CI DI GI MAINT DISTRIBUTION PIPE LINE CONTROL VALVES AND ALLIED WORK AT BHARATPUR MIL STN UNDER GE BHARATPUR,20-02-2026,https://defproc.gov.in/nicgep/app?page=FrontEndTenderDetailsExternal&service=page&tnid=840754
77265030,PDF Tender: Connector set with cable for Magnet Valves,Not specified,https://www.ireps.gov.in/ireps/supply/pdfdocs/022026/106953482/viewNitPdf_5270403.pdf
42261345,PDF Tender: et of various safety valves,Not specified,https://www.ireps.gov.in/ireps/supply/pdfdocs/022026/106953270/viewNitPdf_5270057.pdf
2026_PR_188680_1,"RPRC266034-Rate contract for supply and installation of gland packings for valves,pumps and exchangers installed in various units in P25 of Panipat Refinery and Petrochemical Complex",14-02-2026,https://iocletenders.nic.in/nicgep/app?page=FrontEndTenderDetailsExternal&service=page&tnid=198950
2026_MES_750588_1,"REPAIR / REPLACEMENT OF VALVES, STARTER, PUMPS CLEANING OF OHT / UG SUMP, LEAKING PIPES CHAMBER,. REWINDING OF PUMPS AT VARIOUS LOCATIONS AT AF STATION KALAIKUNDA",20-02-2026,https://defproc.gov.in/nicgep/app?page=FrontEndTenderDetailsExternal&service=page&tnid=840659
2026_BHEL_57726_1,Control Vavles,09-02-2026,https://eprocurebhel.co.in/nicgep/app?page=FrontEndTenderDetailsExternal&service=page&tnid=62413
2025_MES_736207_2,"REPAIR / MAINT OF WATER SUPPLY DISTRIBUTION PIPE LINE, RISING MAIN, CONTROL VALVES,  CLEANING OF UNDER GROUND SUMP AND OTHER MISC WORKS OF WATER SUPPLY IN DOMESTIC AREA AT AF STN HALWARA",14-02-2026,https://defproc.gov.in/nicgep/app?page=FrontEndTenderDetailsExternal&service=page&tnid=840589
2025_MES_736213_2,"REPAIR / MAINT OF WATER SUPPLY DISTRIBUTION PIPE LINE, RISING MAIN, CONTROL VALVES, CLEANING OF UNDER GROUND SUMP AND OTHER MISC WORKS OF WATER SUPPLY IN TECH AREA AT AF STN HALWARA",14-02-2026,https://defproc.gov.in/nicgep/app?page=FrontEndTenderDetailsExternal&service=page&tnid=840576
2025_MES_746225_2,"REPAIRS / MAINT OF EXTERNAL WATER SUPPLY PIPE LINE, VALVES, PUMP, MOTOR, RO PLANT AND STP WITH MISC ALLIED WORKS AT CGRA NALIYA AND ICGS JAKHAU UNDER GE (I) (CG) GANDHINAGAR",13-02-2026,https://defproc.gov.in/nicgep/app?page=FrontEndTenderDetailsExternal&service=page&tnid=840454
2026_MES_750361_1,"REPAIR/ RECTIFICATION OF DAY-TO-DAY COMPLAINTS OF EXTERNAL WATER SUPPLY SYSTEM INCLUDING REPAIR/ REPLACEMENT OF CI/ DI/ MS/ PPR PIPELINE NETWORK, SLUICE VALVES, VALVE -PIT CHAMBERS AND CONNECTED WORKS AT TASA STATION CANTEEN AREA, ASRI, EME BN OFFICE",19-02-2026,https://defproc.gov.in/nicgep/app?page=FrontEndTenderDetailsExternal&service=page&tnid=840411
2026_BHEL_57660_1,Pneumatic Butterfly Valves for North Chennai Project,02-02-2026,https://eprocurebhel.co.in/nicgep/app?page=FrontEndTenderDetailsExternal&service=page&tnid=62344
106950688,PDF Tender: SET OF DOUBLE CHECK VALVES to FTRTIPL Part Number FT0051401-K73 AS PER ANNEXURE.,Not specified,https://www.ireps.gov.in/ireps/supply/pdfdocs/022026/106950688/viewNitPdf_5266733.pdf
2026_MES_750124_1,"REPAIR MAINT OF CHLORINATION PLANTS, ELECTRICAL PANELS, PERIODICAL SERVICES OF FILTERATION PLANT, VALVES, VALVE PITS AND WATER QUALITY REPORTS AT OTHER THAN BASISTHA AND REPAIR MAINT OF FIRE FIGHTING EQUIPMENT, PUMPS, HOSE REEL BOXES, MAINT OF STP AN",17-02-2026,https://defproc.gov.in/nicgep/app?page=FrontEndTenderDetailsExternal&service=page&tnid=840134
2026_MES_750096_1,"REPAIR MAINT OF CHLORINATION PLANTS, ELECTRICAL PANELS, VALVES AND VALVE PITS AND CONNECTED ITEMS IN ALL PUMP HOUSE AND REPAIR/REPLACEMENT OF INTERNAL WIRING WITH FITTING FIXTURES AT OTM ACCN BASISTHA UNDER GE GUWAHATI",17-02-2026,https://defproc.gov.in/nicgep/app?page=FrontEndTenderDetailsExternal&service=page&tnid=840099
86996057,"PDF Tender: Contract for the work of Installation, Commissioning, Leakage, testing of Air Suspension Reservoir, Control Equipment along with pipeline fittings and valves etc. as per drawing nos. 61705003 alt-nil for bogies fitted with Bogie Bolster within built reservoir procured, against Pl. No. 30040231 Drawing No. ICF/SK3-0-4-001 Alt d",Not specified,https://www.ireps.gov.in/ireps/works/pdfdocs/022026/86996057/viewNitPdf_5262625.pdf
