tender_id,tender_number,title,description,due_date,bid_opening_date,bid_offer_validity,emd_amount,estimated_cost,organization_details,url
2026_AMCA_1275439_2,2026_AMCA_1275439_2,City Water Supply Scheme -  City Water Supply Scheme - Repairing of guard room and construction of valve chamber at Pharola WTP,City Water Supply Scheme -  City Water Supply Scheme - Repairing of guard room and construction of valve chamber at Pharola WTP,11-02-2026,13-02-2026,60,"2,463","2,46,331",Municipal Corporation Aurangabad||EE Electrical,https://mahatenders.gov.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sf97v7wApmBgA6pE%2F6KUk4g%3D%3D
2026_AMCA_1275439_1,2026_AMCA_1275439_1,City Water Supply Scheme -  City Water Supply Scheme - Fixing 600 mm dia valve at pharola 100 MLD WTP.,City Water Supply Scheme -  City Water Supply Scheme - Fixing 600 mm dia valve at pharola 100 MLD WTP.,11-02-2026,13-02-2026,60,"2,130","2,12,982",Municipal Corporation Aurangabad||EE Electrical,https://mahatenders.gov.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sf4xtl6EUdZ%2BIBvAeXWAkaw%3D%3D
2026_MCGM_1274450_1,2026_MCGM_1274450_1,Repairing and Overhauling of 1200 mm dia. Sluice valve installed for bypass arrangement alongwith platform and railing work for maintenance at Malad WWTF,Repairing and Overhauling of 1200 mm dia. Sluice valve installed for bypass arrangement alongwith platform and railing work for maintenance at Malad WWTF,13-02-2026,16-02-2026,180,"5,000",NA,Municipal Corporation of Greater Mumbai||Sewerage Operation Department||Dy. Ch.E (Sewerage Operation) Western Suburbs||Ex.E. Mechanical (Sewerage) Western Suburbs,https://mahatenders.gov.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SS%2FKkObEglFZH9cOLqm8FiQ%3D%3D
2026_MCGM_1273401_1,2026_MCGM_1273401_1,Electrification and Allied Works at Andheri Valve Complex in KWest Ward under AE Maint WW WS South Division,Electrification and Allied Works at Andheri Valve Complex in KWest Ward under AE Maint WW WS South Division,20-02-2026,23-02-2026,180,"21,000","17,04,406",Municipal Corporation of Greater Mumbai||Hydraulic Engineer Department||Dy.H.E.(Maintenance)||E.E.W.W.(Maint.) Metre Workshop (Mech and Elect),https://mahatenders.gov.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S982SOAAFEloyZ3YnxfT6GQ%3D%3D
2026_CEWRD_1274843_2,2026_CEWRD_1274843_2,"SUPPLYING, ERECTION, TESTING AND SUCESSFULLY COMMISSIONING OF VERTICAL BLADDER TYPE VESSEL WITH LOAD CELL ARRANGEMENT AND THREE STAGE SURGE SUPRESSION KINETIC AIR VALVE FOR AMBHORA LIFT IRRIGATION SCH","SUPPLYING, ERECTION, TESTING AND SUCESSFULLY COMMISSIONING OF VERTICAL BLADDER TYPE VESSEL WITH LOAD CELL ARRANGEMENT AND THREE STAGE SURGE SUPRESSION KINETIC AIR VALVE FOR AMBHORA LIFT IRRIGATION SCHEME STAGE II TAH - KUHI, DISTT - NAGPUR",20-02-2026,23-02-2026,90,"2,92,000","5,83,39,869",CE Water Resources Department Gosikurda Project Nagpur||SE Gosikhurd Lift Irrigation Circle Ambadi (Bhandara)||EE Ambhora Lift Irrigation Division Bhiwapur,https://mahatenders.gov.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SsDWXdkyT4NXYkcnIv4Pddg%3D%3D
2026_MCGM_1273233_1,2026_MCGM_1273233_1,Work of installation of MS Ladder to various Chambers of Air valve manhole Sluice valve Butterfly valve etc on and along Mumbai III Trunk Main of dia 3000 mm at western side of service road of Eastern,Work of installation of MS Ladder to various Chambers of Air valve manhole Sluice valve Butterfly valve etc on and along Mumbai III Trunk Main of dia 3000 mm at western side of service road of Eastern Exp Highway from Mulund to Sion in AEOCTM divisio,12-02-2026,16-02-2026,180,"19,800","19,78,500",Municipal Corporation of Greater Mumbai||Hydraulic Engineer Department||Dy.H.E.(Maintenance)||E.E.W.W.(Headworks) Mech and Elect,https://mahatenders.gov.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SgjT29Er85MQb%2BlVkY9AUMw%3D%3D
2026_CESWR_1274309_4,2026_CESWR_1274309_4,Work of Providing MS fabricated cage to valves on rising main of LIS-I to IV of Khadakpurna Project,Work of Providing MS fabricated cage to valves on rising main of LIS-I to IV of Khadakpurna Project,11-02-2026,13-02-2026,60,0.00,"10,60,008","CE(SP)-Water Resources Dept. Amravati||SE Buldhana Irrigation Project Circle Buldhana||EE Khadakpurna Project Division, Deulgaon Raja",https://mahatenders.gov.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S%2FIpgQFadKIBWYK3JOtEing%3D%3D
2026_MCGM_1273498_1,2026_MCGM_1273498_1,"Work of providing expansion joints, replacement of suction distance pipe of Pump No. 201 and 204 and replacement of delivery distance pipe and suction valve of Pump No. 203 at Mazgoan Pumping Station.","Work of providing expansion joints, replacement of suction distance pipe of Pump No. 201 and 204 and replacement of delivery distance pipe and suction valve of Pump No. 203 at Mazgoan Pumping Station.",10-02-2026,11-02-2026,180,"10,500",NA,Municipal Corporation of Greater Mumbai||Sewerage Operation Department||Dy. Ch.E (Sewerage Operation) City||Ex.E. Mechanical (Sewerage) City-I,https://mahatenders.gov.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SKu1TfedIobLkKN5uiNEDbA%3D%3D
2026_MCGM_1273923_1,2026_MCGM_1273923_1,Supply of material required for maintenance of various sizes water mains and control valves for A.E.W.W.(C)E.S. and A.E.(M.)W.W.E.S.-I division,Supply of material required for maintenance of various sizes water mains and control valves for A.E.W.W.(C)E.S. and A.E.(M.)W.W.E.S.-I division,10-02-2026,11-02-2026,180,"6,000",NA,Municipal Corporation of Greater Mumbai||Hydraulic Engineer Department||Dy.H.E.(Maintenance)||E.E.W.W.(Headworks) Mech and Elect,https://mahatenders.gov.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S0vpmRbtRm3CLFHAdguPkWQ%3D%3D
2026_MIDC_1273016_1,2026_MIDC_1273016_1,"M and R to Barvi Water Works, Jambhul.. Annual Comprehensive maintenance of valves, actuators and control panel of Stage IV and V at WTP Jambhul","M and R to Barvi Water Works, Jambhul.. Annual Comprehensive maintenance of valves, actuators and control panel of Stage IV and V at WTP Jambhul",13-02-2026,17-02-2026,120,"40,200","40,11,840",Maharashtra Industrial Development Corporation||Chief Engineer (HQ) Mumbai Zone||Superintending Engineer E and M Comm. Mumbai||E and M Division Ambernath,https://mahatenders.gov.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SJhVQDyeyoVXVjK6ahdNHKg%3D%3D
